"","Day_1","Day_10","Day_30","Day_60"
"12123",0,0,0,0
"12125",0,0,0,1
"12127",0,0,2,27
"12129",0,0,1,1
"12131",0,0,0,2
"12133",0,0,0,1
"13001",0,0,5,13
"13003",0,0,1,2
"13005",0,0,1,2
"13007",1,1,2,1
"13009",0,1,3,14
"13011",0,0,0,0
"13013",1,2,3,8
"13015",0,0,15,31
"13017",0,0,0,1
"13019",0,0,0,0
"13021",0,0,1,15
"13023",0,0,0,0
"13025",0,1,2,2
"13027",0,0,6,9
"13029",0,1,2,5
"13031",0,0,2,2
"13033",0,0,3,4
"13035",0,0,2,18
"13037",0,1,3,5
"13039",0,0,0,1
"13043",0,0,0,0
"13045",0,0,9,22
"13047",0,0,0,0
"13049",0,0,0,0
"13051",0,0,5,14
"13053",0,0,0,0
"13055",0,0,1,2
"13057",0,0,5,16
"13059",0,0,12,13
"13061",0,1,2,2
"13063",0,1,12,35
"13065",0,0,0,1
"13067",0,1,24,102
"13069",0,0,4,12
"13071",0,2,6,13
"13073",0,0,0,6
"13075",0,0,1,2
"13077",0,0,2,4
"13079",0,0,0,0
"13081",0,0,2,7
"13083",0,1,1,1
"13085",0,0,1,1
"13087",0,0,1,4
"13089",0,0,11,62
"13091",0,0,0,2
"13093",0,1,8,12
"13095",0,6,78,130
"13097",0,1,6,18
"13099",1,1,8,28
"13101",0,0,0,0
"13103",0,0,1,1
"13105",0,0,0,0
"13107",0,0,0,2
"13109",0,0,0,0
"13111",0,0,0,1
"13113",0,0,4,12
"13115",0,0,3,12
"13117",0,1,5,11
"13119",0,0,0,1
"13121",0,0,18,118
"13123",0,0,0,0
"13127",0,0,0,1
"13129",0,0,3,16
"13131",0,0,3,4
"13133",0,0,1,7
"13135",0,0,7,77
"13137",0,0,3,19
"13139",0,0,0,40
"13141",0,0,2,25
"13143",0,0,1,2
"13145",0,0,2,4
"13147",0,0,0,0
"13149",0,1,1,1
"13151",0,1,3,14
"13153",0,1,9,16
"13155",0,0,1,1
"13157",0,0,1,4
"13159",0,0,0,1
"13161",0,0,1,1
"13163",0,0,1,1
"13165",0,0,1,1
"13167",0,0,2,2
"13169",0,0,0,0
"13171",0,0,0,1
"13173",0,0,1,2
"13175",0,0,1,1
"13177",0,0,15,22
"13179",0,0,0,0
"13181",0,0,0,1
"13183",0,0,0,1
"13185",0,0,1,4
"13187",0,0,0,1
"13189",0,1,4,5
"13191",0,0,0,0
"13193",0,0,2,6
"13195",0,1,1,1
"13197",0,0,1,2
"13199",0,0,0,2
"13201",0,0,0,0
"13205",0,1,23,32
"13207",0,0,1,7
"13209",0,0,0,0
"13211",0,0,0,0
"13213",0,0,0,1
"13215",0,0,4,16
"13217",0,0,3,8
"13219",0,0,0,3
"13221",0,1,3,6
"13223",0,0,4,10
"13225",0,0,2,2
"13227",0,1,2,3
"13229",0,0,2,4
"13231",0,0,2,2
"13233",0,0,0,0
"13235",0,0,1,2
"13237",0,0,5,9
"13239",0,0,1,1
"13241",0,0,0,1
"13243",0,0,13,21
"13245",0,0,8,17
"13247",0,1,6,7
"13249",0,1,1,1
"13251",0,0,1,2
"13253",0,0,2,2
"13255",0,0,7,15
"13257",0,0,1,2
"13259",0,0,0,1
"13261",0,1,14,39
"13263",0,1,1,1
"13267",0,0,0,0
"13269",0,0,2,2
"13271",0,0,0,1
"13273",0,2,14,24
"13275",0,0,16,31
"13277",0,0,3,14
"13279",0,1,3,4
"13281",0,0,1,1
"13283",0,0,0,0
"13285",0,0,4,5
"13287",0,0,2,12
"13289",0,0,0,0
"13291",0,1,1,1
"13293",0,0,14,33
"13295",0,0,0,0
"13297",0,2,3,12
"13299",0,3,7,13
"13301",0,0,0,0
"13303",0,0,1,1
"13305",0,0,0,0
"13307",0,0,2,1
"13309",0,0,0,0
"13311",0,0,0,3
"13313",0,0,3,6
"13315",0,0,9,13
"13317",0,0,0,1
"13319",0,0,2,5
"13321",0,1,5,17
"15001",0,0,0,0
"15003",0,0,2,11
"15007",0,0,0,0
"15009",0,0,3,6
"16001",0,0,6,21
"16003",0,0,0,0
"16005",0,0,0,0
"16011",0,0,0,0
"16013",0,0,5,5
"16017",0,0,0,0
"16019",0,0,0,0
"16025",0,0,0,0
"16027",0,1,5,6
"16029",0,0,0,0
"16031",0,1,1,1
"16037",0,0,0,0
"16039",0,0,2,2
"16043",0,0,0,0
"16045",0,0,0,0
"16047",0,0,0,0
"16049",0,0,0,0
"16051",0,0,0,0
"16053",0,1,2,2
"16055",0,0,0,0
"16057",0,0,0,0
"16059",0,0,0,0
"16063",0,0,0,0
"16065",0,0,0,0
"16067",0,0,0,0
"16069",0,2,13,19
"16073",0,0,0,0
"16075",0,0,1,2
"16077",0,0,0,0
"16081",0,0,0,0
"16083",0,0,8,14
"16085",0,0,0,0
"16087",0,0,0,0
"17001",0,0,0,1
"17003",0,0,0,0
"17005",0,0,1,1
"17007",0,1,11,17
"17011",0,0,0,1
"17013",0,0,0,0
"17015",0,1,2,2
"17017",0,0,0,0
"17019",0,0,4,7
"17021",0,0,5,5
"17023",0,0,0,0
"17025",0,0,0,0
"17027",0,0,0,13
"17029",0,0,1,17
"17031",0,0,0,9
"17033",0,0,0,0
"17035",0,0,0,0
"17037",0,0,1,4
"17039",0,0,0,0
"17041",0,0,0,0
"17043",0,0,50,258
"17049",0,1,1,1
"17051",0,0,2,3
"17053",0,1,1,1
"17055",0,0,0,0
"17057",0,0,0,0
"17059",0,0,0,0
"17061",0,0,0,0
"17063",0,0,0,2
"17065",0,0,0,0
"17067",0,0,0,1
"17069",0,0,0,0
"17071",0,0,0,0
"17073",0,0,0,0
"17075",0,0,0,4
"17077",0,0,4,10
"17079",0,1,5,7
"17081",0,0,15,16
"17083",0,0,1,1
"17085",0,0,0,0
"17087",0,0,0,0
"17089",0,0,19,84
"17091",0,0,13,37
"17093",0,0,2,20
"17095",0,0,0,0
"17097",0,0,29,173
"17099",0,0,1,8
"17101",0,0,0,0
"17103",0,0,0,1
"17105",0,0,1,1
"17107",0,0,0,0
"17109",0,0,2,15
"17111",0,0,5,48
"17113",0,1,3,6
"17115",0,0,11,19
"17117",0,0,0,2
"17119",0,0,3,39
"17121",0,0,0,0
"17123",0,0,0,0
"17125",0,0,0,0
"17127",0,0,0,0
"17129",0,0,0,0
"17131",0,0,0,0
"17133",0,0,7,11
"17135",0,0,0,0
"17137",0,1,1,1
"17139",0,0,0,0
"17141",0,1,1,3
"17143",0,0,1,6
"17145",0,0,0,0
"17147",0,0,0,0
"17149",0,0,0,0
"17153",0,0,0,0
"17157",0,0,1,4
"17159",0,0,0,0
"17161",0,0,4,21
"17163",0,0,8,63
"17165",0,0,0,0
"17167",0,1,3,25
"17169",0,0,0,0
"17173",0,0,1,1
"17175",0,0,0,0
"17177",0,0,0,1
"17179",0,0,3,4
"17181",0,0,1,17
"17183",0,0,1,1
"17185",0,0,0,0
"17187",0,0,0,0
"17189",0,0,0,0
"17191",0,0,1,1
"17193",0,0,0,0
"17195",0,0,1,8
"17197",0,2,77,231
"17199",0,0,0,1
"17201",0,0,4,39
"17203",0,0,0,1
"18001",0,0,0,1
"18003",0,2,19,68
"18005",0,0,6,32
"18007",0,0,0,0
"18009",0,0,1,2
"18011",0,0,3,30
"18013",0,0,1,1
"18015",0,0,1,2
"18017",0,2,4,8
"18019",0,0,10,36
"18021",0,0,1,1
"18023",0,0,2,2
"18025",0,0,1,1
"18027",0,1,17,18
"18029",0,1,5,21
"18031",0,4,24,34
"18033",0,0,2,2
"18035",1,1,6,23
"18037",0,0,0,2
"18039",0,0,3,25
"18041",0,0,3,4
"18043",0,0,5,33
"18045",0,1,2,2
"18047",0,1,7,8
"18049",0,0,0,1
"18051",0,0,0,1
"18053",0,0,3,20
"18055",0,0,6,27
"18057",0,0,25,88
"18059",0,1,8,25
"18061",0,0,2,19
"18063",0,0,6,56
"18065",0,0,1,7
"18067",0,0,5,10
"18069",0,1,2,2
"18071",0,0,0,2
"18073",0,1,1,1
"18075",0,0,0,0
"18077",0,0,0,1
"18079",0,1,2,6
"18081",0,1,11,89
"18083",0,0,0,0
"18085",0,0,2,2
"18087",0,0,1,2
"18089",0,0,37,146
"18091",0,0,3,12
"18093",0,2,10,22
"18095",0,3,32,66
"18097",0,0,36,387
"18099",0,0,1,1
"18101",0,0,0,0
"18103",0,0,0,1
"18105",0,0,4,10
"18107",0,0,0,14
"18109",0,1,4,23
"18111",0,1,6,11
"18113",0,0,1,15
"18115",0,0,0,0
"18117",0,1,5,24
"18119",0,0,1,1
"18121",0,0,0,0
"18123",0,0,0,2
"18125",0,0,0,0
"18127",0,0,6,20
"18129",0,0,0,0
"18131",0,0,0,0
"18133",0,1,4,6
"18135",0,1,2,3
"18137",0,1,3,6
"18139",0,1,1,2
"18141",0,0,5,30
"18143",1,1,2,3
"18145",0,0,10,28
"18147",0,0,0,1
"18149",0,0,1,3
"18151",0,0,1,2
"18153",0,0,0,1
"18155",0,0,0,0
"18157",0,1,2,2
"18159",0,0,1,1
"18161",0,0,0,0
"18163",0,0,1,2
"18165",0,0,0,0
"18167",0,1,5,7
"18169",0,0,1,2
"18171",0,1,1,1
"18173",0,0,9,27
"18175",0,0,0,1
"18177",0,0,2,5
"18179",0,0,0,0
"18181",0,0,0,8
"18183",0,1,1,2
"19001",0,0,0,0
"19005",0,0,1,4
"19007",0,0,2,3
"19009",0,0,0,1
"19011",0,0,1,1
"19013",0,0,0,29
"19015",0,0,0,0
"19017",0,0,4,6
"19019",0,0,0,0
"19021",0,0,0,2
"19023",0,0,0,0
"19027",0,0,0,0
"19029",0,0,0,0
"19031",0,0,0,1
"19033",0,0,0,0
"19035",0,0,0,0
"19037",0,0,0,0
"19039",0,0,0,0
"19041",0,0,0,0
"19043",0,0,1,3
"19045",0,0,0,1
"19047",0,0,1,2
"19049",0,0,0,7
"19055",0,0,1,1
"19057",0,0,0,1
"19059",0,0,0,0
"19061",0,1,1,10
"19065",0,0,0,0
"19069",0,0,0,0
"19073",0,0,0,0
"19075",0,0,0,0
"19077",0,0,0,3
"19079",0,0,0,0
"19081",0,0,0,0
"19083",0,0,0,0
"19085",0,0,0,0
"19087",0,0,1,1
"19089",0,0,0,0
"19091",0,0,0,1
"19095",0,0,0,0
"19097",0,0,0,0
"19099",0,0,0,15
"19101",0,0,0,0
"19103",0,0,1,6
"19105",0,0,0,0
"19107",0,0,0,0
"19109",0,0,0,0
"19111",0,0,0,0
"19113",0,2,25,73
"19115",0,0,2,11
"19119",0,0,0,0
"19121",0,0,1,2
"19123",0,0,1,6
"19125",0,0,0,0
"19127",0,0,0,11
"19129",0,0,0,0
"19131",0,0,0,0
"19133",0,0,0,0
"19137",0,0,0,0
"19139",0,0,2,33
"19141",0,0,0,0
"19143",0,0,0,0
"19145",0,0,0,0
"19149",0,0,0,2
"19151",0,0,0,1
"19153",0,0,5,65
"19155",0,0,0,2
"19157",0,1,1,8
"19163",0,0,3,8
"19165",0,0,0,0
"19167",0,0,0,0
"19169",0,0,0,1
"19171",0,0,6,21
"19173",0,0,0,0
"19175",0,0,0,0
"19177",0,0,0,0
"19179",0,0,0,3
"19181",0,0,0,0
"19183",0,0,4,8
"19187",0,0,0,1
"19189",0,0,0,0
"19191",0,0,0,0
"19193",0,0,0,22
"19195",0,0,0,0
"19197",0,0,0,0
"20005",0,0,0,0
"20007",0,0,0,0
"20009",0,0,0,1
"20011",0,0,1,1
"20015",0,0,0,0
"20017",0,0,0,0
"20019",0,0,0,0
"20021",0,0,0,0
"20025",0,0,0,0
"20027",0,0,0,1
"20029",0,0,0,0
"20031",0,0,7,8
"20035",0,1,1,1
"20037",0,1,1,1
"20041",0,0,0,0
"20043",0,0,0,0
"20045",0,0,0,0
"20047",0,0,0,0
"20051",0,0,0,0
"20055",0,0,1,8
"20057",0,0,0,2
"20059",0,0,0,0
"20061",0,0,0,1
"20063",0,0,0,0
"20067",0,0,0,1
"20069",0,0,0,0
"20073",0,0,0,0
"20075",0,0,0,0
"20079",0,0,0,2
"20081",0,0,0,0
"20085",0,0,0,0
"20087",0,0,0,0
"20089",0,0,0,0
"20091",0,0,8,45
"20093",0,0,0,1
"20097",0,0,0,0
"20099",0,0,0,0
"20103",0,0,1,6
"20107",0,0,0,0
"20111",0,0,1,3
"20113",0,0,0,0
"20115",0,0,1,1
"20119",0,0,0,0
"20121",0,0,0,0
"20123",0,0,0,0
"20125",0,2,2,2
"20127",0,0,0,0
"20129",0,0,0,0
"20133",0,0,0,0
"20139",0,0,0,0
"20141",0,0,0,0
"20143",0,0,0,0
"20147",0,0,0,0
"20149",0,0,0,0
"20151",0,0,0,0
"20155",0,0,0,0
"20157",0,0,0,0
"20159",0,0,0,0
"20161",0,0,0,1
"20163",0,0,0,0
"20169",0,1,2,2
"20171",0,0,0,0
"20173",0,0,3,20
"20175",0,0,0,2
"20177",0,2,5,6
"20179",0,0,0,0
"20181",0,0,0,0
"20183",0,0,0,0
"20185",0,0,0,0
"20187",0,0,0,0
"20189",0,0,0,0
"20191",0,0,1,1
"20197",0,0,0,0
"20205",0,0,0,0
"20207",0,0,0,0
"20209",1,1,20,64
"21001",0,2,13,19
"21003",0,0,0,2
"21005",1,1,1,1
"21007",0,0,0,0
"21009",0,0,0,1
"21011",0,0,1,1
"21015",0,1,2,11
"21017",0,1,1,1
"21019",0,2,3,3
"21021",0,0,0,0
"21023",0,0,0,0
"21025",0,0,0,0
"21027",0,0,0,2
"21029",0,2,2,4
"21031",0,0,3,6
"21033",0,0,0,0
"21035",0,0,1,1
"21037",0,1,7,11
"21039",0,1,1,1
"21041",0,0,0,0
"21043",0,0,0,0
"21045",0,0,0,0
"21047",0,0,3,3
"21049",0,0,0,0
"21051",0,0,0,3
"21053",0,0,0,0
"21055",0,0,1,1
"21057",0,0,0,0
"21059",0,0,3,4
"21061",0,0,0,9
"21067",0,0,9,9
"21069",0,0,0,0
"21071",0,0,0,0
"21073",0,0,0,0
"21075",0,0,0,0
"21077",0,0,0,6
"21079",0,0,0,0
"21081",0,1,3,3
"21083",0,0,13,19
"21085",0,0,1,8
"21087",0,0,0,0
"21089",0,0,0,0
"21091",0,0,0,0
"21093",0,0,0,2
"21097",0,0,0,0
"21099",0,0,0,0
"21101",0,0,0,3
"21103",0,0,0,0
"21105",0,0,0,0
"21107",0,2,20,29
"21109",0,2,12,13
"21111",0,0,20,108
"21113",0,0,0,0
"21115",0,0,0,0
"21117",0,0,10,30
"21119",0,0,0,0
"21121",0,0,0,0
"21123",0,0,0,0
"21125",0,0,2,2
"21127",0,0,0,0
"21131",0,0,0,0
"21133",0,0,0,0
"21135",0,0,0,0
"21137",0,0,1,1
"21139",0,0,0,0
"21141",0,0,0,3
"21143",0,0,2,3
"21145",0,0,2,2
"21147",0,0,0,0
"21149",0,0,0,0
"21151",0,0,1,1
"21155",0,0,0,0
"21157",0,0,0,2
"21159",0,0,0,0
"21161",0,0,0,0
"21163",0,1,1,2
"21165",0,0,0,0
"21167",0,0,0,0
"21171",0,0,0,0
"21173",0,0,0,0
"21175",0,0,0,0
"21177",0,0,2,7
"21179",0,0,0,0
"21181",0,0,0,0
"21183",0,0,0,0
"21185",0,0,0,1
"21189",0,0,0,0
"21191",0,0,0,0
"21193",0,0,0,0
"21195",0,1,2,2
"21197",0,0,0,0
"21199",0,0,2,2
"21203",0,0,0,0
"21205",0,0,0,0
"21207",0,0,3,4
"21209",0,0,0,0
"21211",0,0,3,4
"21213",0,1,2,3
"21215",0,0,0,0
"21217",0,0,0,0
"21219",0,0,0,0
"21221",0,0,0,0
"21223",0,0,0,0
"21225",0,0,0,0
"21227",0,0,0,2
"21229",0,0,0,0
"21231",0,0,0,0
"21233",0,0,0,0
"21235",0,0,0,0
"21239",0,0,0,0
"22001",0,1,7,12
"22003",0,1,9,10
"22005",0,1,27,48
"22007",0,0,1,11
"22009",0,0,3,9
"22011",0,0,2,4
"22013",0,1,9,20
"22015",0,0,9,22
"22017",0,0,26,129
"22019",0,1,16,40
"22021",0,0,0,0
"22023",0,0,0,0
"22025",0,1,1,3
