"","Day_1","Day_10","Day_30","Day_60"
"21193",2,4,14,21
"21195",1,5,13,30
"21197",1,1,1,1
"21199",1,7,34,49
"21203",1,6,11,13
"21205",1,2,3,11
"21207",1,4,16,23
"21209",1,5,27,34
"21211",1,7,28,132
"21213",1,5,22,44
"21215",1,1,9,16
"21217",2,2,6,11
"21219",2,10,13,23
"21221",4,4,9,13
"21223",1,2,3,6
"21225",1,2,8,10
"21227",1,8,71,776
"21229",2,3,5,6
"21231",1,3,6,8
"21233",1,3,16,33
"21235",1,8,11,13
"21239",3,8,19,25
"22001",1,39,114,262
"22003",2,19,79,172
"22005",1,65,438,745
"22007",1,8,137,230
"22009",1,14,69,94
"22011",1,5,35,52
"22013",1,5,66,84
"22015",1,12,186,313
"22017",1,12,906,1743
"22019",1,28,309,517
"22021",1,18,20,54
"22023",1,2,3,8
"22025",1,1,23,106
"22027",1,4,50,58
"22029",3,13,36,86
"22031",2,25,152,224
"22033",1,105,1325,2953
"22035",1,1,6,111
"22037",4,22,105,187
"22039",2,8,43,67
"22041",4,28,116,297
"22043",1,3,12,26
"22045",1,9,175,353
"22047",1,21,267,526
"22049",1,4,21,82
"22051",1,45,3922,6588
"22053",1,14,57,73
"22055",3,48,396,590
"22057",1,15,468,715
"22059",1,4,17,45
"22061",2,13,52,130
"22063",1,12,142,348
"22065",1,1,5,55
"22067",1,7,45,110
"22069",2,2,58,141
"22071",5,252,5070,6645
"22073",2,44,511,966
"22075",1,19,152,194
"22077",1,16,88,182
"22079",2,41,201,499
"22081",1,2,22,48
"22083",1,3,38,113
"22085",1,7,13,41
"22087",1,19,369,515
"22089",1,8,401,595
"22091",1,11,28,51
"22093",1,48,216,283
"22095",1,16,545,804
"22097",2,10,119,231
"22099",1,41,193,287
"22101",1,10,149,277
"22103",2,25,845,1463
"22105",1,10,440,732
"22107",1,1,6,21
"22109",1,12,248,528
"22111",2,17,89,287
"22113",1,15,33,50
"22115",2,7,14,23
"22117",1,6,173,357
"22119",1,9,74,113
"22121",2,12,83,148
"22123",1,4,4,68
"22125",1,19,97,200
"22127",1,2,19,112
"23001",1,3,24,84
"23003",1,2,5,10
"23005",1,56,284,714
"23007",1,4,26,36
"23009",1,4,10,11
"23011",1,6,93,116
"23013",1,5,13,20
"23015",1,5,10,15
"23017",1,8,13,17
"23019",1,6,37,93
"23021",1,1,1,1
"23023",1,7,16,27
"23025",1,4,17,21
"23027",1,2,45,51
"23029",1,1,2,2
"23031",1,27,156,281
"24001",1,11,118,178
"24003",1,19,615,2501
"24005",1,13,979,3753
"24009",1,9,109,242
"24011",1,4,33,208
"24013",1,5,236,589
"24015",1,14,134,328
"24017",1,5,235,757
"24019",1,7,51,141
"24021",1,7,441,1331
"24023",3,3,4,7
"24025",1,2,55,536
"24027",1,30,386,1260
"24029",1,5,64,148
"24031",3,12,566,5177
"24033",1,20,1020,8531
"24035",1,7,27,141
"24037",1,15,107,340
"24039",1,1,10,62
"24041",1,1,16,64
"24043",1,7,117,352
"24045",1,6,103,818
"24047",1,2,31,165
"24510",1,41,873,3485
"25001",1,30,501,1093
"25003",1,11,258,457
"25005",1,25,1327,5125
"25007",1,7,14,26
"25009",1,19,2103,10995
"25011",1,24,170,304
"25013",1,24,1694,4889
"25015",1,30,258,767
"25017",1,65,2202,15370
"25019",1,5,9,12
"25021",1,22,738,5896
"25023",3,64,2141,6592
"25025",1,1,1,1373
"25027",1,8,1077,6992
"26001",1,4,5,21
"26005",1,2,41,184
"26007",1,15,87,108
